Epoch, Color Log Likelihood, Shape Loglikehood, Object Loglikelihood
516,-21888.3,-14606.2,-14402.8
517,-21886.3,-14641.7,-14394.8
518,-21888.6,-14670.5,-14409.5
519,-21884.4,-14581.9,-14402.2
520,-21888.7,-14635.9,-14384.6
521,-21889.7,-14687.6,-14439.3
522,-21888.3,-14612.6,-14405.2
523,-21885,-14611.3,-14424.6
524,-21889.9,-14712.6,-14427.7
525,-21885.1,-14572.9,-14363.7
526,-21888.3,-14661.6,-14394.9
527,-21891.9,-14644.4,-14404.5
528,-21886.7,-14574.2,-14395.9
529,-21887.7,-14734.5,-14453.9
530,-21885.7,-14691.6,-14390.8
531,-21886.7,-14858,-14487.6
532,-21890.1,-14709.4,-14429.9
533,-21887.4,-14797.7,-14461.1
534,-21886.4,-14588.2,-14381.5
535,-21886.9,-14558.3,-14388.5
536,-21888.3,-14639.4,-14400.3
537,-21885.8,-14721.2,-14430.2
538,-21891.2,-14642.5,-14400.7
539,-21886.4,-14683.2,-14447.3
540,-21891.3,-14658.7,-14431.4
541,-21886.3,-14770.5,-14469.3
542,-21891.8,-14689.6,-14427.6
543,-21886.7,-14653.6,-14448
544,-21887.7,-14680.3,-14442.4
545,-21883.8,-14647.5,-14405.4
546,-21888.7,-14707.9,-14425.1
547,-21885.1,-14705.4,-14457.2
548,-21886.2,-14613.6,-14400.6
549,-21886.1,-14866.5,-14498.1
550,-21885.2,-14526.4,-14351
551,-21882.5,-14726.7,-14469
552,-21889.5,-14761.2,-14485.3
553,-21888.8,-14862.9,-14497.7
554,-21888,-14703,-14460.9
555,-21882.2,-14727.2,-14436.6
556,-21886.9,-14777.3,-14446.9
557,-21881.3,-14674.7,-14435.2
558,-21886.7,-14659.4,-14394.1
559,-21884.1,-14683.6,-14459
560,-21884,-14672,-14428.5
561,-21884.3,-14750,-14439
562,-21884.2,-14601.9,-14409
563,-21883.3,-14816.6,-14477.6
564,-21885.3,-14677,-14443.3
565,-21880.7,-14581,-14403.1
566,-21884.7,-14561.8,-14360.2
567,-21887.6,-14771,-14449.2
568,-21885.7,-14628.2,-14410
569,-21883.3,-14609.4,-14409.5
570,-21883.2,-14607.8,-14416.5
571,-21886.3,-14715.9,-14427.6
572,-21887.7,-14654.4,-14406.9
573,-21886.1,-14787.2,-14470.7
574,-21884,-14576.3,-14395.9
575,-21883.7,-14734.1,-14479.6
576,-21890.5,-14715.8,-14430.6
577,-21886.5,-14793.2,-14425.9
578,-21885.5,-14728.1,-14466.2
579,-21883.2,-14702.2,-14420.1
580,-21880,-14642.4,-14407.5
